29.3 0.09	222.381616184	94.553723814	13.5952417453	42.6081040607
277.6 0.11	90.6772158343	-302.173126359	12.6408254225	41.6583682241
394.9 0.11	87.2519061526	-108.786589851	12.6163816341	41.6335635533
39.3 0.092	194.251761475	-40.4597907363	13.3889777816	42.4059246493
27.1 0.09	150.990872356	-201.93817658	13.0743476708	42.0942778282
48.1 0.094	151.161913868	-222.561730348	13.0755855271	42.0955116803
25 0.086	153.167001808	-228.469826465	13.0901002804	42.1099749076
38 0.09	156.26141909	-268.189695047	13.1125136492	42.1322921623
66.8 0.084	138.230127211	-310.285589957	12.9821315974	42.0021874555
28.5 0.092	155.954998066	-239.771737371	13.1102934874	42.130082417
25.8 0.09	221.963077384	83.6585054985	13.592162986	42.605098588
399.6 0.104	19.9154000334	-177.164687009	12.1396382531	41.144900497
25.1 0.082	156.677613135	220.926009719	13.1155294154	42.1352934635
90.2 0.1	270.603119067	-201.472674341	13.9519600159	42.9538202385
45.3 0.072	270.891176981	43.6964723136	13.9541029327	42.955882083
44.1 0.066	149.938790176	-142.306481469	13.0667346333	42.0866880691
405.9 0.082	97.0437016003	-154.823128969	12.6863081694	41.7044578961
26.7 0.066	235.07104381	30.7823856165	13.6887261013	42.6991859749
40.5 0.106	246.079462781	85.2268923625	13.7700486376	42.778140235
274.4 0.064	116.013581872	-315.98720626	12.8222181874	41.8416821557
49.9 0.08	256.907880413	-192.623009269	13.8502439547	42.8557472177
413.4 0.072	28.0318066209	-160.779566426	12.196724013	41.2039053737
35.5 0.092	233.293771498	126.600388744	13.6756162477	42.6864336868
54.2 0.09	248.726813238	88.2283134035	13.7896363454	42.7971188916
418.3 0.064	26.9888879961	-172.319318393	12.189383011	41.196325114
28.6 0.072	236.280518394	-204.491909633	13.6976507368	42.7078633444
28 0.07	196.325613624	-317.485807078	13.404138955	42.4208427774
314.1 0.078	77.9667332616	-284.358606753	12.5502150454	41.5662981864
26.6 0.074	205.556812255	-132.15221175	13.4717124969	42.4872225603
25.8 0.076	205.266390646	-138.562171492	13.4695843903	42.4851347992
364.4 0.088	66.1557250845	-196.587733826	12.4662480973	41.48068002
294.6 0.082	118.853136233	-278.246519174	12.8426123455	41.8622091054
290.2 0.066	98.4544859315	-306.596747237	12.6963957636	41.7146687292
30.2 0.066	258.020851515	50.5734310098	13.8584980427	42.8637206773
294.8 0.064	88.4471633219	-276.501496571	12.6249091231	41.6422196977
405.7 0.07	45.6524701208	-124.762937377	12.3210118639	41.3319072079
26.4 0.096	271.383549169	-200.649514752	13.9577661141	42.959406264
26.5 0.074	176.751761743	-300.271770257	13.2613281772	42.2799601571
303.5 0.074	112.289971962	-240.216428059	12.7954944156	41.8147589643
302.6 0.068	112.008782022	-224.463315706	12.7934772715	41.8127255969
267.1 0.09	111.086695165	-322.449605255	12.7868634877	41.8060574674
311.7 0.07	64.6350789228	-253.808285794	12.455453632	41.4696524018
30.6 0.082	268.500927645	-187.779420769	13.9363257665	42.9387720828
305.8 0.064	111.059073347	-240.736970977	12.786665388	41.8058577127
301.7 0.066	78.6256112452	-285.054501513	12.5549056975	41.5710726018
264.3 0.066	111.408345121	-322.585780283	12.789170406	41.8083835425
306.8 0.086	108.926555488	-224.034792075	12.7713750036	41.7904347959
388.4 0.064	46.0268625331	-234.675265088	12.3236579453	41.3346254554
336.5 0.062	96.0417555183	-266.803558537	12.6791458551	41.6972055758
400 0.072	56.6735557424	-173.733451971	12.3989978136	41.4118995499
349.3 0.062	95.0183126659	-211.572913586	12.6718315409	41.6897971978
28.9 0.07	259.736521533	205.812424574	13.8712260827	42.8760107831
27.2 0.076	263.420756792	40.308771588	13.8985754563	42.9023978274
79.6 0.068	246.82017117	201.968793585	13.7755279182	42.7834506541
415.5 0.072	51.6698569033	-130.515858296	12.3635675286	41.3755886383
349.5 0.062	66.25829027	-219.232235112	12.4669762992	41.4814237791
301 0.068	76.3323067808	-255.88937015	12.5385823081	41.5544538491
387.7 0.066	101.722007188	-101.061540503	12.7197719799	41.7383146766
335.5 0.056	114.429754271	-208.982333025	12.8108485547	41.8302312047
31 0.07	266.083646511	3.92166570448	13.9183576008	42.9214657863
285 0.076	108.1217461	-291.605932361	12.7656063453	41.7846136809
300.6 0.084	109.476003585	-239.107639184	12.7753139023	41.7944087395
319.6 0.082	163.093171338	-119.397983972	13.1620531165	42.181547994
400 0.068	29.7691916219	-206.663324416	12.208957073	41.2165321975
400 0.06	77.1924351249	-110.372487128	12.5447035858	41.5606871604
26.4 0.072	272.49811838	-163.013834386	13.9660599063	42.9673834228
293 0.066	152.174579202	-268.92585858	13.0829153443	42.1028165306
